id,created_at,text
1025535137612787713,2018-08-04 00:13:24,"@ChrisAWrayRBLX Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025534733692940289,2018-08-04 00:11:48,"@NesSqueegee Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025534674846842880,2018-08-04 00:11:34,"@sandarcon Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025534632899563520,2018-08-04 00:11:24,"@BrielleAlydia Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025534271358992384,2018-08-04 00:09:58,"@secretlifeofjyc Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025533779924975616,2018-08-04 00:08:01,"@deebecats Looks like you're order was already recieved. If I’m wrong, DM @gofoojihelp and they’ll fix it. #InfinityWar #SquadGoalsGiveaway"
1025533620512088067,2018-08-04 00:07:23,"@Chewdeezy Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025533594943598592,2018-08-04 00:07:17,"@MovieFreak89 Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025533487154188288,2018-08-04 00:06:51,"@Ch00ch_oh Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025532871468044291,2018-08-04 00:04:24,"@Steve_M_83 Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025532838295289856,2018-08-04 00:04:16,"@marvel_kathryn Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025532513203236864,2018-08-04 00:02:59,"@Peyton_Janssen Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025532501178163200,2018-08-04 00:02:56,"@annaczachor1 Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
